Major Categories of Subjects
Category_ID,Description,,,,,
Foundation of Mathematics ,This deals with the mathematical investigation of what underlines the philosophical theories concerning the nature of mathematics. It include set theory and mathematical logic.,,,,,
Number Theory,"This is the study of numbers and the properties of operations between them. It encompasses: Arithmetic, Elementary number theory, Analytic number theory, and Algebraic number theory.",,,,,
Algebra,,,,,,
Combinatorics,,,,,,
Geometry,,,,,,
Topology,,,,,,
Probability and Statistics ,,,,,,
Computational Mathematics ,,,,,,
Classical Mechanics,,,,,,
Fluid Mechanics,,,,,,
Particle Mechanics ,,,,,,
Quantum Information Theory,,,,,,
Data Science,,,,,,
C,,,,,,
C++,,,,,,
Python,,,,,,
